Szó;Felbontás;Morfológiai_kódok
ablakhoz;!ablak=ablak+hoz=hoz;FN.ALL
szépség;!szép=szép+ség=ség;MN.NFN
iskolások;!iskolá=iskola+s=s+ok=k;FN.NMN.PL
tükröződés;!tükr=tükör+öz=z+őd=őd+és=és;FN.NV.VV.VFN
könyveidet;!könyv=könyv+ei=ei+d=d+et=t;FN.PSi.PSe2.ACC
szomszédunké;!szomszéd=szomszéd+unk=unk+é=é;FN.PSt1.POS
legényke;!legény=legény+ke=ke;FN.NN
édesded;!édes=édes+ded=ded;MN.NN
egyetemisták;!egyetem=egyetem+istá=ista+k=k;FN.NFN.PL
háborúsdi;!háború=háború+sdi=sdi;FN.NFN
újonc;!új=új+onc=onc;MN.NFN
bokros;!bokr=bokor+os=s;FN.NMN
idei;!ide=ide+i=i;HA.NMN
szótlan;!szó=szó+tlan=tlan;FN.NMN
szavakból;!szav=szó+ak=k+ból=ból;FN.PL.ELA
ujjnyi;!ujj=ujj+nyi=nyi;FN.NMN
ötödikként;!öt=öt+ödik=dik+ként=ként;SZN.NSZN.FOR
szándékosan;!szándék=szándék+os=s+an=an;FN.NMN.MES
szaladgálnak;!szalad=szalad+gál=gál+nak=nak;IGE.VV.t3
beszélget;!beszél=beszél+get=get;IGE.VV
kötözés;!köt=köt+öz=öz+és=és;IGE.VV.VFN
gyülemlik;!gyül=gyűlik+emlik=emlik;IGE.VV
nyomulna;!nyom=nyom+ul=ul+na=na;IGE.VV.F
mosakodtok;!mos=mos+akod=kod+tok=tok;IGE.VV.t2
mehet;!me=megy+het=het;IGE.VV
váraitokban;!vár=vár+ai=ai+tok=tok+ban=ban;FN.PSi.PSt2.INE
kelyhekben;!kelyh=kehely+ek=k+ben=ben;FN.PL.INE
kertészkedésből;!kert=kert+ész=ész+ked=ked+és=és+ből=ből;FN.NFN.NV.VFN.ELA
létesülő;!lét=lét+esül=sül+ő=ő;FN.NV.VMI
olvasott;!olvas=olvas+ott=tt;IGE.VMI
tudván;!tud=tud+ván=ván;IGE.VHI
butulni;!but=buta+ul=ul+ni=ni;FN.NV.VFI
inni;!i=iszik+nni=nni;IGE.VFI
kanalacska;!kanal=kanál+acska=cska;FN.NN
szebb;!sze=szép+bb=bb;MN.FOK
legboldogabb;leg=leg+!boldog=boldog+abb=bb;FF.MN.FOK
higgyetek;!hi=hisz+ggy=ggy+etek=etek;IGE.P.t2
olvassuk;!olvas=olvas+suk=juk;IGE.Ht1
vitted;!vi=visz+tt=tt+ed=ed;IGE.M.He2
rejtőzöm;!rejt=rejt+őz=őz+öm=öm;IGE.VV.IKe1
szabályos;!szabály=szabály+os=s;FN.NMN
okosabb;!okos=okos+abb=bb;MN.FOK
sasként;!sas=sas+ként=ként;FN.FOR
fához;!fá=fa+hoz=hoz;FN.ALL
kapunál;!kapu=kapu+nál=nál;FN.ADE
partig;!part=part+ig=ig;FN.TER
tanárként;!tanár=tanár+ként=ként;FN.FOR
idegenektől;!idegen=idegen+ek=k+től=től;FN.PL.ABL
nyáron;!nyár=nyár+on=on;FN.SUP
házatok;!ház=ház+atok=tok;FN.PSt2
legeslegsűrűbb;legesleg=legesleg+!sűrű=sűrű+bb=bb;TF.MN.FOK
olvasni;!olvas=olvas+ni=ni;IGE.VFI
ápolgat;!ápol=ápol+gat=gat;IGE.VV
üldögél;!ül=ül+dögél=dögél;IGE.VV
éneklő;!ének=ének+l=l+ő=ő;FN.NV.VMI
sírva;!sír=sír+va=va;IGE.VHI
fásít;!fá=fa+s=s+ít=ít;FN.NMN.NV
gazdálkodik;!gazdá=gazda+lkodik=lkodik;FN.NV
okosodik;!okos=okos+odik=odik;MN.NV
kettőz;!kettő=kettő+z=z;SZN.NV
elvégzendő;el=el+!végz=végez+endő=endő;IK.IGE.VMI
számtalanszor;!szám=szám+talan=talan+szor=szor;FN.NMN.MUL
másképpen;!más=más+képpen=képpen;NM.FRM
órakor;!óra=óra+kor=kor;FN.TEM
láthatólag;!lát=lát+ható=ható+lag=lag;IGE.VMN.MES
szelíden;!szelíd=szelíd+en=en;MN.MES
ruhástul;!ruhá=ruha+stul=stul;FN.SOC
természetessé;!természet=természet+es=s+sé=vé;FN.NMN.FAC
falunként;!falu=falu+nként=nként;FN.DIS
lárvává;!lárvá=lárva+vá=vá;FN.FAC
aranyból;!arany=arany+ból=ból;FN.ELA
nemesebbek;!nemes=nemes+ebb=bb+ek=k;MN.FOK.PL
ebeim;!eb=eb+ei=ei+m=m;FN.PSi.PSe1
mezei;!meze=mező+i=i;FN.NMN
mezei;!mez=mez+ei=ei;FN.PSi
füves;!füv=fű+es=s;FN.NMN
nyaral;!nyar=nyár+al=l;FN.NV
tavak;!tav=tó+ak=k;FN.PL
mai;!ma=ma+i=i;FN.NMN
lépeget;!lép=lép+eget=get;IGE.VV
alszunk;!alsz=alszik+unk=unk;IGE.t1
kancsók;!kancsó=kancsó+k=k;FN.PL
lépcsőzünk;!lépcső=lépcső+z=z+ünk=ünk;FN.NV.t1
szaladtatok;!szalad=szalad+t=t+atok=atok;IGE.M.t2
kávézzatok;!kávé=kávé+z=z+z=j+atok=atok;FN.NV.P.t2
számítások;!szám=szám+ít=ít+ás=ás+ok=k;FN.NV.VFN.PL
hallgató;!hall=hall+gat=gat+ó=ó;IGE.VV.VFN
mosogatás;!mos=mos+ogat=gat+ás=ás;IGE.VV.VFN
késel;!kés=kés+el=l;FN.NV
késsel;!kés=kés+sel=vel;FN.INS
vizes;!viz=víz+es=s;FN.NMN
esőzés;!eső=eső+z=z+és=és;FN.NV.VFN
fésülködés;!fésü=fésű+lköd=lköd+és=és;FN.NV.VFN
üvegekkel;!üveg=üveg+ek=k+kel=vel;FN.PL.INS
cserepes;!cserep=cserép+es=s;FN.NMN
ablakaim;!ablak=ablak+ai=ai+m=m;FN.PSi.PSe1
útász;!út=út+ász=ász;FN.NFN
voltam;!vol=van+t=t+am=am;IGE.M.e1
holnaptól;!holnap=holnap+tól=tól;FN.ABL
máig;!má=ma+ig=ig;FN.TER
