Szó;Szófajok
a;FN|NM|NE|IND
abajgat;IGE
abál;IGE
abaposztó;FN
abárol;IGE
abba;NM|IK
abbahagy;IGE
abbamarad;IGE
abban;NM
abbeli;NM
abból;NM
abcúg;FN|IND
abcugol;IGE
ábécé;FN
ábécérend;FN
ábécés;FN|MN
ábécéskönyv;FN
abesszin;FN|MN
ablak;FN
ablakbélés;FN
ablakdeszka;FN
ablakfiók;FN
ablakfülke;FN
ablakkeret;FN
ablakkosár;FN
ablakmélyedés;FN
ablaknyílás;FN
ablakos;FN|MN
ablakoz;IGE
ablakpárkány;FN
ablakpárna;FN
ablakrács;FN
ablakredőny;FN
ablakrózsa;FN
ablakszárny;FN
ablakszem;FN
ablaktábla;FN
ablaktok;FN
ablaktörlő;FN|MN
ablaküveg;FN
ablakvasalás;FN
ablakzat;FN
abnormális;MN
abnormis;MN
abonál;IGE
abonens;FN
abortál;IGE
abortusz;FN
ábra;FN
abrak;FN
abrakadabra;FN
abrakol;IGE
abrakos;MN
ábránd;FN
ábrándkép;FN
ábrándos;MN
ábrándozás;FN
ábrándozik;IGE
ábrándvilág;FN
ábrázat;FN
ábrázol;IGE
ábrázoló;FN|MN
abroncs;FN
abroncsol;IGE
abroncsos;MN
abroncsoz;IGE
abrosz;FN
abszencia;FN
abszint;FN
abszolút;FN|MN
abszolúte;HA
abszolutizmus;FN
abszolutórium;FN
abszolvál;IGE
abszorpció;FN
absztinens;FN|MN
absztrakció;FN
absztrakt;MN
abszurd;MN
abszurdum;FN
acat;FN
acél;FN
acélhengermű;FN
acélipar;FN
acélkék;MN
acélkohó;FN
acélmetszet;FN
acélmű;FN
acélos;MN
acélosodik;IGE
acéloz;IGE
acélrugó;FN
acetilén;FN
achát;FN
ács;FN
acsarkodik;IGE
acsarog;IGE
ácsceruza;FN
ácsi;MN
ácsingózik;IGE
ácskapocs;FN
ácsmester;FN
ácsmunka;FN
ácsol;IGE
ácsolás;FN
ácsolat;FN
ácsorog;IGE
ad;IGE
adag;FN
adagol;IGE
adagoló;FN|MN
adakozás;FN
adakozik;IGE
adakozó;FN|MN
adalék;FN
ádámcsutka;FN
ádámkosztüm;FN
adandó;MN
adás;FN
adásszünet;FN
adásvétel;FN
adásvételi;MN
adás-vevés;FN
adat;IGE|FN
adatgyűjtés;FN
adathalmaz;FN
adatik;IGE
adatszolgáltatás;FN
adattár;FN
ádáz;MN
addig;NM|HA
addig-addig;HA
addigi;MN
addiglan;HA
adekvát;MN
adjisten;FN
adjonisten;FN
adjunktus;FN
adjusztál;IGE
adjutáns;FN
adminisztráció;FN
adminisztrál;IGE
adminisztratív;MN
adminisztrátor;FN
admirális;FN
adó;FN|MN
adóalany;FN
adóalap;FN
adóállomás;FN
adóbehajtás;FN
adóbélyeg;FN
adóberendezés;FN
adóbérlő;FN
adóbevallás;FN
adócsalás;FN
adócső;FN
adódik;IGE
adóelengedés;FN
adóellenőr;FN
adóeltitkolás;FN
adófelszólamlás;FN
adófizetés;FN
adófizető;FN|MN
adóforrás;FN
adófőkönyv;FN
adogat;IGE
adogató;FN|MN
adóhátralék;FN
adóhivatal;FN
adóhivatalnok;FN
adóintés;FN
adóív;FN
adójövedelem;FN
adókedvezmény;FN
adókészülék;FN
adókivetés;FN
adókönyv;FN
adóköteles;FN|MN
adókulcs;FN
adólámpa;FN
adoma;FN
adomány;FN
adománybirtok;FN
adománylevél;FN
adományos;FN|MN
adományoz;IGE
adomás;MN
adomázik;IGE
adómentes;MN
adómorál;FN
adónem;FN
adóösszeírás;FN
adópénztár;FN
adóprés;FN
adoptál;IGE
adórendszer;FN
adós;FN|MN
adóslevél;FN
adósság;FN
adószedés;FN
adószedő;FN
adótárgy;FN
adótartozás;FN
adóteher;FN
adótiszt;FN
adott;MN
adottság;FN
adóügy;FN
adóügyi;MN
adóvégrehajtó;FN
adó-vevő;FN|MN
adózás;FN
adózik;IGE
adózó;FN|MN
adóztat;IGE
adresz;FN
adresszál;IGE
adta;FN|MN|IND
adta-teremtette;IND
adtáz;IGE
adu;FN
aduttoz;IGE
advent;FN
adventi;MN
adventista;FN|MN
ad-vesz;IGE
aeolhárfa;FN
aera;FN
aerodinamika;FN
aeroplán;FN
aether;FN
aethiop;FN|MN
afelől;HA
affektáció;FN
affektál;IGE
affektív;MN
affektus;FN
afféle;NM
affér;FN
affinitás;FN
áfium;FN
áfonya;FN
aforizma;FN
afrik;FN
afrikai;FN|MN
ág;FN
aga;FN
ágál;IGE
agancs;FN
agancsos;FN|MN
agár;FN
agarász;IGE|FN
agarászik;IGE
ágas;FN|MN
ágas-bogas;MN
ágasfa;FN
ágaskodik;IGE
agát;FN
agavé;FN
ágaz;IGE
ágazat;FN
ágazatos;MN
ágazik;IGE
ágbog;FN
ágbogas;MN
ágenda;FN
ágens;FN
ágfa;FN
ágfűrész;FN
agg;IGE|FN|MN
aggály;FN
aggályos;MN
aggályoskodik;IGE
aggastyán;FN
aggaszt;IGE
aggat;IGE
aggaték;FN
aggkor;FN
agglegény;FN
agglegényadó;FN
aggodalmas;MN
aggodalmaskodik;IGE
aggodalom;FN
aggódás;FN
aggódik;IGE
aggófű;FN
aggóskodik;IGE
aggott;MN
aggság;FN
aggszűz;FN
ági;MN
agilis;MN
agitáció;FN
agitációs;FN|MN
agitál;IGE
agitátor;FN
agnoszkál;IGE
agnoszticizmus;FN
agnosztikus;FN|MN
agónia;FN
agonizál;IGE
agrár;MN
agrárállam;FN
agráregyetem;FN
agrárkapitalizmus;FN
agrárkérdés;FN
agrárolló;FN
agrárpárt;FN
agrárpolitika;FN
agrárproletár;FN
agrárszocialista;FN|MN
agrárszocializmus;FN
agrártudomány;FN
agrárválság;FN
agresszió;FN
agresszív;MN
agresszor;FN
agrobiológia;FN
agrokémia;FN
ágrólszakadt;FN|MN
agronómus;FN
agrotechnika;FN
ágseprű;FN
agy;FN
ágy;FN
agyabugyál;IGE
agyafúrt;MN
agyag;FN
agyagáru;FN
agyaggalamb;FN
agyagipar;FN
agyagminta;FN
agyagos;MN
agyal;IGE
ágyal;IGE
agyalágyult;MN
agyar;FN
agyarkodik;IGE
ágyas;FN|MN
ágyás;FN
ágyasház;FN
ágyaz;IGE
ágyazás;FN
ágyazat;FN
agyba-főbe;HA
agybaj;FN
agybarázda;FN
ágybeli;FN
ágybetét;FN
ágybontás;FN
