Toldalék_kódja;Toldalék_neve;Előhangzó;Hasonulás
FF;leg;0;0
TF;legesleg;0;0
VV;gat;1;0
VV;get;1;0
VV;ong;0;0
VV;eng;0;0
VV;öng;0;0
VV;z;1;0
VV;zik;1;0
VV;g;1;0
VV;ász;0;0
VV;ászik;0;0
VV;ész;0;0
VV;észik;0;0
VV;kod;1;0
VV;kodik;1;0
VV;ked;1;0
VV;kedik;1;0
VV;köd;1;0
VV;ködik;1;0
VV;kol;1;0
VV;kel;1;0
VV;köl;1;0
VV;gál;1;0
VV;gél;1;0
VV;igál;0;0
VV;doz;1;0
VV;dozik;1;0
VV;dez;1;0
VV;dezik;1;0
VV;döz;1;0
VV;dözik;1;0
VV;dos;1;0
VV;des;1;0
VV;dös;1;0
VV;dal;1;0
VV;del;1;0
VV;dál;1;0
VV;dokol;1;0
VV;dekel;1;0
VV;dököl;1;0
VV;dogál;1;0
VV;degél;1;0
VV;dögél;1;0
VV;an;0;0
VV;en;0;0
VV;ant;0;0
VV;ent;0;0
VV;int;0;0
VV;ít;0;0
VV;aml;0;0
VV;amlik;0;0
VV;eml;0;0
VV;emlik;0;0
VV;all;0;0
VV;ell;0;0
VV;ad;0;0
VV;ed;0;0
VV;aszt;0;0
VV;eszt;0;0
VV;t;1;0
VV;ajt;0;0
VV;ejt;0;0
VV;al;0;0
VV;el;0;0
VV;lal;1;0
VV;lel;1;0
VV;ód;0;0
VV;ódik;0;0
VV;őd;0;0
VV;ődik;0;0
VV;koz;1;0
VV;kozik;1;0
VV;kez;1;0
VV;kezik;1;0
VV;köz;1;0
VV;közik;1;0
VV;óz;0;0
VV;ózik;0;0
VV;őz;0;0
VV;őzik;0;0
VV;ódz;0;0
VV;ódzik;0;0
VV;ődz;0;0
VV;ődzik;0;0
VV;oz;0;0
VV;ozik;0;0
VV;ez;0;0
VV;ezik;0;0
VV;öz;0;0
VV;özik;0;0
VV;ul;0;0
VV;ül;0;0
VV;od;0;0
VV;odik;0;0
VV;edik;0;0
VV;öd;0;0
VV;ödik;0;0
VV;at;0;0
VV;et;0;0
VV;tat;1;0
VV;tet;1;0
VV;atik;0;0
VV;etik;0;0
VV;tatik;1;0
VV;tetik;1;0
VV;hat;1;0
VV;het;1;0
NV;g;1;0
NV;z;1;0
NV;zik;1;0
NV;l;1;0
NV;lik;1;0
NV;ll;1;0
NV;llik;1;0
NV;ít;0;0
NV;sít;1;0
NV;kod;1;0
NV;kodik;1;0
NV;ked;1;0
NV;kedik;1;0
NV;köd;1;0
NV;ködik;1;0
NV;lkod;1;0
NV;lkodik;1;0
NV;lked;1;0
NV;lkedik;1;0
NV;lköd;1;0
NV;lködik;1;0
NV;skod;1;0
NV;skodik;1;0
NV;sked;1;0
NV;skedik;1;0
NV;sköd;1;0
NV;sködik;1;0
NV;od;0;0
NV;odik;0;0
NV;ed;0;0
NV;edik;0;0
NV;öd;0;0
NV;ödik;0;0
NV;ul;0;0
NV;ül;0;0
NV;sul;1;0
NV;sül;1;0
VFI;ni;0;0
VFI;ani;0;0
VFI;eni;0;0
VFI;n;0;0
VFI;an;0;0
VFI;en;0;0
VFI;nni;0;0
VFI;nn;0;0
VMI;ó;0;0
VMI;ő;0;0
VMI;t;1;0
VMI;tt;1;0
VMI;andó;0;0
VMI;endő;0;0
VHI;va;1;0
VHI;ve;1;0
VHI;ván;1;0
VHI;vén;1;0
VFN;ás;0;0
VFN;és;0;0
VFN;t;1;0
VFN;tt;1;0
VFN;aj;0;0
VFN;ej;0;0
VFN;alom;0;0
VFN;elem;0;0
VFN;dalom;1;0
