2021. 07. 06. 21:20:49	Elapsed time: 825 ms	Analyzed word: szerelmetekből (1)
2021. 07. 06. 21:24:37	Elapsed time: 8 ms	Analyzed word: A (4)
2021. 07. 06. 21:24:37	Elapsed time: 147 ms	Analyzed word: lányok (1)
2021. 07. 06. 21:24:38	Elapsed time: 799 ms	Analyzed word: boldogan (2)
2021. 07. 06. 21:24:38	Elapsed time: 560 ms	Analyzed word: táncolnak (8)
2021. 07. 06. 21:24:38	Elapsed time: 6 ms	Analyzed word: a (4)
2021. 07. 06. 21:24:39	Elapsed time: 204 ms	Analyzed word: színpadon (1)
2021. 07. 06. 22:27:07	SA performance testing started
2021. 07. 06. 22:27:08	Elapsed time: 251 ms	Analyzed word: Nagymamám (2)
2021. 07. 06. 22:27:08	Elapsed time: 201 ms	Analyzed word: postán (2)
2021. 07. 06. 22:27:08	Elapsed time: 209 ms	Analyzed word: kapja (3)
2021. 07. 06. 22:27:08	Elapsed time: 11 ms	Analyzed word: a (4)
2021. 07. 06. 22:27:09	Elapsed time: 450 ms	Analyzed word: pénzét (3)
2021. 07. 06. 22:27:09	Elapsed time: 1173 ms	Analyzed sentence: Nagymamám postán kapja a pénzét
2021. 07. 06. 22:27:09	Elapsed time: 4 ms	Analyzed word: Az (2)
2021. 07. 06. 22:27:09	Elapsed time: 50 ms	Analyzed word: orvos (3)
2021. 07. 06. 22:27:09	Elapsed time: 226 ms	Analyzed word: páciensei (1)
2021. 07. 06. 22:27:10	Elapsed time: 769 ms	Analyzed word: boldogan (2)
2021. 07. 06. 22:27:11	Elapsed time: 837 ms	Analyzed word: távoztak (4)
2021. 07. 06. 22:27:11	Elapsed time: 4 ms	Analyzed word: a (4)
2021. 07. 06. 22:27:11	Elapsed time: 276 ms	Analyzed word: rendelőből (6)
2021. 07. 06. 22:27:11	Elapsed time: 2186 ms	Analyzed sentence: Az orvos páciensei boldogan távoztak a rendelőből
2021. 07. 06. 22:27:11	Elapsed time: 93 ms	Analyzed word: Én (10)
2021. 07. 06. 22:27:11	Elapsed time: 312 ms	Analyzed word: szeretem (4)
2021. 07. 06. 22:27:11	Elapsed time: 2 ms	Analyzed word: az (2)
2021. 07. 06. 22:27:11	Elapsed time: 138 ms	Analyzed word: almát (3)
2021. 07. 06. 22:27:11	Elapsed time: 561 ms	Analyzed sentence: Én szeretem az almát
2021. 07. 06. 22:27:11	Elapsed time: 8 ms	Analyzed word: A (4)
2021. 07. 06. 22:27:11	Elapsed time: 54 ms	Analyzed word: kutya (4)
2021. 07. 06. 22:27:12	Elapsed time: 202 ms	Analyzed word: ugat (1)
2021. 07. 06. 22:27:12	Elapsed time: 271 ms	Analyzed sentence: A kutya ugat
2021. 07. 06. 22:27:12	Elapsed time: 2 ms	Analyzed word: Mi (2)
2021. 07. 06. 22:27:12	Elapsed time: 107 ms	Analyzed word: gyakran (1)
2021. 07. 06. 22:27:12	Elapsed time: 589 ms	Analyzed word: utazunk (2)
2021. 07. 06. 22:27:12	Elapsed time: 704 ms	Analyzed sentence: Mi gyakran utazunk
2021. 07. 06. 22:27:13	Elapsed time: 376 ms	Analyzed word: Szeretek (6)
2021. 07. 06. 22:27:13	Elapsed time: 3 ms	Analyzed word: jó (2)
2021. 07. 06. 22:27:13	Elapsed time: 460 ms	Analyzed word: könyveket (3)
2021. 07. 06. 22:27:13	Elapsed time: 109 ms	Analyzed word: olvasni (1)
2021. 07. 06. 22:27:13	Elapsed time: 968 ms	Analyzed sentence: Szeretek jó könyveket olvasni
2021. 07. 06. 22:27:13	Elapsed time: 4 ms	Analyzed word: Ti (2)
2021. 07. 06. 22:27:13	Elapsed time: 137 ms	Analyzed word: tanárok (1)
2021. 07. 06. 22:27:14	Elapsed time: 300 ms	Analyzed word: lesztek (7)
2021. 07. 06. 22:27:14	Elapsed time: 452 ms	Analyzed sentence: Ti tanárok lesztek
2021. 07. 06. 22:27:14	Elapsed time: 5 ms	Analyzed word: A (4)
2021. 07. 06. 22:27:14	Elapsed time: 178 ms	Analyzed word: diákok (2)
2021. 07. 06. 22:27:14	Elapsed time: 430 ms	Analyzed word: nevetnek (4)
